x,y
49,50
50,50
50,49
49,49
50,49
50,50
49,50
49,49
48,49
48,48
48,49
49,49
48,49
48,50
47,50
46,50
47,50
47,51
47,52
46,52
45,52
46,52
45,52
44,52
44,53
43,53
42,53
43,53
44,53
44,52
44,51
44,52
44,53
45,53
46,53
46,52
45,52
45,53
45,52
44,52
44,51
44,52
43,52
43,53
42,53
42,52
42,53
43,53
42,53
42,52
42,51
42,52
43,52
43,51
42,51
43,51
43,50
42,50
43,50
44,50
44,49
44,48
44,49
44,48
44,49
44,50
44,51
45,51
46,51
47,51
48,51
48,52
49,52
49,51
50,51
50,52
51,52
51,53
52,53
52,52
53,52
52,52
53,52
53,53
52,53
53,53
53,54
54,54
53,54
53,55
53,56
52,56
51,56
51,57
51,56
50,56
51,56
51,57
51,56
50,56
