x,y,count
0,0,902661
0,1,1502695
0,2,1501804
0,3,1501893
0,4,1502819
0,5,1501547
0,6,1498446
0,7,1500211
0,8,1499423
0,9,1496990
0,10,1497694
0,11,1496176
0,12,1498535
0,13,1497830
0,14,1497665
0,15,1499769
0,16,1499156
0,17,1495092
0,18,1493974
0,19,1493295
0,20,1493065
0,21,1492038
0,22,1493290
0,23,1494233
0,24,1495386
0,25,1493388
0,26,1494132
0,27,1492955
0,28,1491056
0,29,1492335
0,30,1488170
0,31,1487937
0,32,1489049
0,33,1488308
0,34,1487035
0,35,1485458
0,36,1484745
0,37,1484535
0,38,1483427
0,39,1481696
0,40,1480679
0,41,1480721
0,42,1479452
0,43,1477036
0,44,1479736
0,45,1478676
0,46,1479186
0,47,1479014
0,48,1477984
0,49,1476170
0,50,1475976
0,51,1477813
0,52,1475874
0,53,1478045
0,54,1477251
0,55,1475882
0,56,1474046
0,57,1473087
0,58,1474626
0,59,1473457
0,60,1472709
0,61,1474234
0,62,1475705
0,63,1474736
0,64,1469756
0,65,1472676
0,66,1471153
0,67,1471278
0,68,1470282
0,69,1469390
0,70,1470204
0,71,1468282
0,72,1467779
0,73,1470102
0,74,1473126
0,75,1476472
0,76,1473785
0,77,1475454
0,78,1473769
0,79,1470258
0,80,1470362
0,81,1471922
0,82,1470827
0,83,1469588
0,84,1469142
0,85,1469021
0,86,1470410
0,87,1467231
0,88,1469392
0,89,1469523
0,90,1469461
0,91,1470060
0,92,1470205
0,93,1470240
0,94,1468026
0,95,1468446
0,96,1468987
0,97,1469342
0,98,1469003
0,99,881117
1,0,1502774
1,1,2406427
1,2,2406359
1,3,2404436
1,4,2404234
1,5,2403816
1,6,2401369
1,7,2397594
1,8,2396750
1,9,2398710
1,10,2393166
1,11,2397620
1,12,2398181
1,13,2399058
1,14,2400380
1,15,2399680
1,16,2394251
1,17,2394427
1,18,2389638
1,19,2388566
1,20,2389092
1,21,2388491
1,22,2390066
1,23,2391018
1,24,2390930
1,25,2390126
1,26,2389962
1,27,2387656
1,28,2387276
1,29,2383401
1,30,2384687
1,31,2381439
1,32,2382557
1,33,2380997
1,34,2380893
1,35,2379680
1,36,2376662
1,37,2375936
1,38,2375009
1,39,2372833
1,40,2371597
1,41,2370247
1,42,2370007
1,43,2369094
1,44,2367244
1,45,2368536
1,46,2367063
1,47,2367106
1,48,2361770
1,49,2360315
1,50,2359501
1,51,2361548
1,52,2363118
1,53,2361926
1,54,2362423
1,55,2360084
1,56,2358315
1,57,2358699
1,58,2359314
1,59,2359139
1,60,2362378
1,61,2358653
1,62,2356220
1,63,2356774
1,64,2354761
1,65,2354432
1,66,2353869
1,67,2353053
1,68,2349327
1,69,2350493
1,70,2352071
1,71,2349777
1,72,2350807
1,73,2353795
1,74,2354988
1,75,2355173
1,76,2359904
1,77,2355528
1,78,2355914
1,79,2355029
1,80,2354085
1,81,2353958
1,82,2353933
1,83,2351249
1,84,2353848
1,85,2353025
1,86,2349470
1,87,2350820
1,88,2349283
1,89,2349993
1,90,2352244
1,91,2351299
1,92,2349956
1,93,2347536
1,94,2349063
1,95,2348367
1,96,2349650
1,97,2348990
1,98,2351490
1,99,1469813
2,0,1502602
2,1,2404439
2,2,2405366
2,3,2404911
2,4,2404012
2,5,2405156
2,6,2403978
2,7,2401353
2,8,2399050
2,9,2396581
2,10,2398066
2,11,2397776
2,12,2397623
2,13,2398163
2,14,2399412
2,15,2396168
2,16,2394876
2,17,2393930
2,18,2391653
2,19,2390116
2,20,2391295
2,21,2388725
2,22,2391798
2,23,2390492
2,24,2389511
2,25,2389196
2,26,2388751
2,27,2388294
2,28,2387608
2,29,2384653
2,30,2383376
2,31,2383563
2,32,2383115
2,33,2381398
2,34,2379001
2,35,2379759
2,36,2379043
2,37,2375793
2,38,2374649
2,39,2375517
2,40,2373616
2,41,2373191
2,42,2372258
2,43,2372427
2,44,2369874
2,45,2366841
2,46,2365368
2,47,2362543
2,48,2361303
2,49,2362472
2,50,2360395
2,51,2360613
2,52,2361989
2,53,2361579
2,54,2363387
2,55,2358771
2,56,2357001
2,57,2359482
2,58,2359058
2,59,2360044
2,60,2360594
2,61,2358789
2,62,2358295
2,63,2356965
2,64,2356115
2,65,2353986
2,66,2355058
2,67,2355035
2,68,2351821
2,69,2350280
2,70,2349170
2,71,2350219
2,72,2353938
2,73,2353671
2,74,2354917
2,75,2353450
2,76,2352733
