x,y,count
0,0,1625538
0,1,2438567
0,2,2434394
0,3,2432893
0,4,2432054
0,5,2432568
0,6,2433129
0,7,2430408
0,8,2431498
0,9,2432536
0,10,2430339
0,11,2430950
0,12,2433760
0,13,2433637
0,14,2431153
0,15,2430821
0,16,2429235
0,17,2426649
0,18,2423095
0,19,2422243
0,20,2427027
0,21,2425833
0,22,2422737
0,23,2421920
0,24,2420207
0,25,2420381
0,26,2418982
0,27,2418982
0,28,2414794
0,29,2411342
0,30,2410227
0,31,2408192
0,32,2408667
0,33,2410375
0,34,2403947
0,35,2405569
0,36,2405553
0,37,2399078
0,38,2397660
0,39,2401813
0,40,2399346
0,41,2393913
0,42,2393327
0,43,2390990
0,44,2390027
0,45,2390268
0,46,2389884
0,47,2388905
0,48,2389995
0,49,2387576
0,50,2383475
0,51,2382836
0,52,2385322
0,53,2384365
0,54,2383745
0,55,2380685
0,56,2381176
0,57,2385064
0,58,2386584
0,59,2386663
0,60,2385444
0,61,2383849
0,62,2383818
0,63,2381962
0,64,2381885
0,65,2382971
0,66,2383464
0,67,2382773
0,68,2382171
0,69,2382211
0,70,2383332
0,71,2385228
0,72,2385986
0,73,2385073
0,74,2383023
0,75,2381716
0,76,2383783
0,77,2383952
0,78,2384180
0,79,2386756
0,80,2388615
0,81,2386701
0,82,2383381
0,83,2381070
0,84,2380835
0,85,2381374
0,86,2384176
0,87,2384345
0,88,2385187
0,89,2387494
0,90,2388295
0,91,2389445
0,92,2386035
0,93,2385040
0,94,2391065
0,95,2390836
0,96,2388176
0,97,2385185
0,98,2384579
0,99,1591867
1,0,2433574
1,1,3246043
1,2,3243235
1,3,3243343
1,4,3241966
1,5,3241045
1,6,3242248
1,7,3242886
1,8,3240656
1,9,3241502
1,10,3239808
1,11,3239773
1,12,3241813
1,13,3243516
1,14,3243485
1,15,3242531
1,16,3234837
1,17,3234256
1,18,3233991
1,19,3231052
1,20,3232427
1,21,3233121
1,22,3232125
1,23,3230768
1,24,3230066
1,25,3229322
1,26,3225471
1,27,3227623
1,28,3219519
1,29,3214660
1,30,3214068
1,31,3214341
1,32,3212912
1,33,3211793
1,34,3203801
1,35,3205684
1,36,3204857
1,37,3198873
1,38,3200101
1,39,3203457
1,40,3200612
1,41,3191830
1,42,3190748
1,43,3188463
1,44,3188344
1,45,3184730
1,46,3185373
1,47,3185270
1,48,3182393
1,49,3184081
1,50,3182531
1,51,3181317
1,52,3183150
1,53,3180029
1,54,3177869
1,55,3175623
1,56,3179709
1,57,3184274
1,58,3185316
1,59,3183442
1,60,3181608
1,61,3180239
1,62,3179740
1,63,3177315
1,64,3174860
1,65,3175737
1,66,3175542
1,67,3178828
1,68,3178470
1,69,3177297
1,70,3180040
1,71,3182066
1,72,3182691
1,73,3180329
1,74,3178275
1,75,3177639
1,76,3180057
1,77,3178692
1,78,3176341
1,79,3177399
1,80,3180267
1,81,3180649
1,82,3178045
1,83,3176737
1,84,3174538
1,85,3176836
1,86,3180864
1,87,3182778
1,88,3184190
1,89,3182119
1,90,3179272
1,91,3182031
1,92,3182384
1,93,3180013
1,94,3183982
1,95,3184360
1,96,3182862
1,97,3180910
1,98,3182664
1,99,2389211
2,0,2434512
2,1,3246454
2,2,3245107
2,3,3246931
2,4,3244221
2,5,3244005
2,6,3243682
2,7,3246468
2,8,3244126
2,9,3243557
2,10,3243057
2,11,3245812
2,12,3246616
2,13,3247351
2,14,3242220
2,15,3238895
2,16,3233588
2,17,3229571
2,18,3230464
2,19,3230755
2,20,3229732
2,21,3231968
2,22,3233872
2,23,3232019
2,24,3229819
2,25,3228966
2,26,3225868
2,27,3228106
2,28,3222227
2,29,3216567
2,30,3215443
2,31,3215814
2,32,3212998
2,33,3211467
2,34,3206107
2,35,3202580
2,36,3200511
2,37,3200208
2,38,3202072
2,39,3200877
2,40,3197268
2,41,3192365
2,42,3190537
2,43,3188342
2,44,3189643
2,45,3187807
2,46,3188326
2,47,3188594
2,48,3185487
2,49,3185634
2,50,3187501
2,51,3186657
2,52,3186057
2,53,3185694
2,54,3179528
2,55,3180017
2,56,3183891
2,57,3187574
2,58,3184682
2,59,3182611
2,60,3181411
2,61,3178869
2,62,3179108
2,63,3181340
2,64,3177976
2,65,3174826
2,66,3177394
2,67,3181315
2,68,3179003
2,69,3176613
2,70,3179360
2,71,3180186
2,72,3182672
2,73,3181734
2,74,3180762
2,75,3179573
2,76,3179971
2,77,3181300
2,78,3177578
2,79,3178102
2,80,3177472
2,81,3178280
2,82,3177176
2,83,3176732
2,84,3172224
2,85,3174480
2,86,3175255
2,87,3180543
2,88,3185152
2,89,3180907
2,90,3179029
2,91,3178752
2,92,3178696
2,93,3181843
2,94,3187797
2,95,3189789
2,96,3188278
2,97,3185746
2,98,3189797
2,99,2391568
3,0,2433440
3,1,3243334
3,2,3245072
3,3,3246119
3,4,3244325
3,5,3240846
3,6,3241676
3,7,3242942
3,8,3242117
3,9,3244280
3,10,3244312
3,11,3244813
3,12,3246411
3,13,3246097
3,14,3239372
3,15,3235272
3,16,3232951
3,17,3230451
3,18,3231599
3,19,3231487
3,20,3229502
3,21,3233955
3,22,3235368
3,23,3233584
3,24,3231151
3,25,3228196
3,26,3222395
3,27,3223583
3,28,3221952
3,29,3218918
3,30,3217706
3,31,3216492
3,32,3215883
3,33,3214717
3,34,3203813
3,35,3197445
3,36,3199630
3,37,3200458
3,38,3199120
3,39,3200852
3,40,3198464
3,41,3193855
3,42,3188792
3,43,3187943
3,44,3191425
3,45,3192310
3,46,3190273
3,47,3186737
3,48,3188799
3,49,3188762
3,50,3188623
3,51,3189201
3,52,3188379
3,53,3186943
3,54,3183017
3,55,3184128
3,56,3186651
3,57,3191508
3,58,3189141
3,59,3189332
3,60,3184594
3,61,3176655
3,62,3178292
3,63,3178970
3,64,3180637
3,65,3177970
3,66,3177787
3,67,3179260
3,68,3179590
3,69,3176145
3,70,3179839
