time,cells
1,1055262042.2318571
2,1113237408.092409
3,1174040663.1671143
4,1237790289.36985
5,1304608778.397733
6,1374622725.8403447
7,1447962925.8874378
8,1524764466.577168
9,1605166825.5248723
10,1689313966.0704377
11,1777354433.7803397
12,1869441453.2385185
13,1965733025.0583737
14,2066392023.0463202
15,2171586291.445554
16,2281488742.186927
17,2396277452.072138
18,2516135759.8128047
19,2641252362.847397
20,2771821413.8564925
21,2908042616.89536
22,3050121323.061473
23,3198268625.613253
24,3352701454.455077
25,3513642669.9024177
26,3681321155.6398892
27,3855971910.78396
28,4037836140.961147
29,4227161348.311684
30,4424201420.327874
31,4629216717.435681
32,4842474159.227533
33,5064247309.253826
34,5294816458.280232
35,5534468705.917615
36,5783498040.531169
37,6042205417.335313
38,6310898834.580855
39,6589893407.741074
40,6879511441.603563
41,7180082500.175015
42,7491943474.306516
43,7815438646.947473
44,8150919755.936917
45,8498746054.2416525
46,8859284367.551569
47,9232909149.14339
48,9620002531.925158
49,10020954377.574928
50,10436162322.688402
51,10866031821.85158
52,11310976187.555983
53,11771416626.87556
54,12247782274.826069
55,12740510224.329433
56,13250045552.70753
57,13776841344.631697
58,14321358711.456419
59,14884066806.867678
60,15465442838.778757
61,16065972077.408592
62,16686147859.480116
63,17326471588.478577
64,17987452730.912365
65,18669608808.521484
66,19373465386.381554
67,20099556056.85402
68,20848422419.336052
69,21620614055.7666
70,22416688501.847984
71,23237211213.94548
72,24082755531.630478
73,24953902635.835854
74,25851241502.595497
75,26775368852.34307
76,27726889094.748463
77,28706414269.07364
78,29714563980.032986
79,30751965329.146603
80,31819252841.57846
81,32917068388.454712
82,34046061104.660923
83,35206887302.12048
84,36400210378.5599
85,37626700721.77017
86,38887035609.37697
87,40181899104.13574
88,41511981944.7715
89,42877981432.386375
90,44280601312.46156
91,45720551652.483765
92,47198548715.22957
93,48715314827.74472
94,50271578246.05854
95,51868073015.67717
96,53505538827.902565
97,55184720872.02747
98,56906369683.45996
99,58671240987.83404
100,60480095541.166336
101,62333698966.121666
102,64232821584.453514
103,66178238245.68838
104,68170728152.12588
105,70211074680.22937
106,72300065198.48468
107,74438490881.80714
108,76627146522.5801
109,78866830338.41014
110,81158343776.68753
111,83502491316.0419
112,85900080264.7864
113,88351920556.44536
114,90858824542.46268
115,93421606782.19067
116,96041083830.26048
117,98718074021.43777
118,101453397253.06883
119,104247874765.22397
120,107102328918.64711
121,110017582970.62157
122,112994460848.86389
123,116033786923.55864
124,119136385777.64862
125,122303081975.49606
126,125534699830.0312
127,128832063168.50613
128,132195995096.97209
129,135627317763.59978
130,139126852120.96234
131,142695417687.40192
132,146333832307.60037
133,150042911912.47614
134,153823470278.52844
135,157676318786.75125
136,161602266181.2386
137,165602118327.60367
138,169676677971.33344
139,173826744496.20056
140,178053113682.8542
141,182356577467.71072
142,186737923702.26523
143,191197935912.94357
144,195737393061.61478
145,200357069306.88248
146,205057733766.27307
147,209840150279.43808
148,214705077172.48633
149,219653267023.56125
150,224685466429.77707
151,229802415775.62646
152,235004849002.97107
153,240293493382.72495
154,245669069288.33917
155,251132289971.19516
156,256683861338.01154
157,262324481730.36877
158,268054841706.45367
159,273875623825.12366
160,279787502432.3899
161,285791143450.41547
162,291887204169.1232
163,298076333040.50653
164,304359169475.7328
165,310736343645.1287
166,317208476281.134
167,323776178484.3067
168,330440051532.4635
169,337200686693.0336
170,344058665038.7044
171,351014557266.4333
172,358068923519.89923
173,365222313215.46387
174,372475264871.7101
175,379828305942.62384
176,387281952654.48206
177,394836709846.50714
178,402493070815.3464
179,410251517163.43134
180,418112518651.2705
181,426076533053.7258
182,434144006020.32043
183,442315370939.6236
184,450591048807.75507
185,458971448101.0496
186,467456964652.91864
187,476047981534.94495
188,484744868942.2421
189,493547984083.10944
190,502457671073.00903
191,511474260832.89075
192,520598070991.8866
193,529829405794.395
194,539168556011.572
195,548615798857.2445
196,558171397908.2577
197,567835603029.2671
198,577608650301.982
199,587490761958.8672
200,597482146321.3026
201,607582997742.2053
202,617793496553.109
203,628113809015.6979
204,638544087277.7888
205,649084469333.7527
206,659735078989.3644
207,670496025831.0682
208,681367405199.6442
209,692349298168.2565
210,703441771524.8678
211,714644877758.9948
212,725958655052.7838
213,737383127276.3815
214,748918303987.5718
215,760564180435.6519
216,772320737569.5164
217,784187942049.9155
218,796165746265.856
219,808254088355.1051
220,820452892228.7644
221,832762067599.8702
222,845181510015.9829
223,857711100895.7212
224,870350707569.1991
225,883100183322.319
226,895959367444.8757
227,908928085282.4233
228,922006148291.8551
229,935193354100.648
230,948489486569.7178
231,961894315859.8352
232,975407598501.547
233,989029077468.548
234,1002758482254.4493
235,1016595528952.8851
236,1030539920340.9006
237,1044591345965.5629
238,1058749482233.7356
239,1073013992504.9576
240,1087384527187.3643
241,1101860723836.5906
242,1116442207257.5945
243,1131128589609.3362
244,1145919470512.253
245,1160814437158.4626
246,1175813064424.6353
247,1190914914987.465
248,1206119539441.6802
249,1221426476420.5232
250,1236835252718.6396
251,1252345383417.305
252,1267956372011.9277
253,1283667710541.7603
254,1299478879721.752
255,1315389349076.4783
256,1331398577076.0789
257,1347506011274.1392
258,1363711088447.449
259,1380013234737.5696
260,1396411865794.147
261,1412906386919.9011
262,1429496193217.2278
263,1446180669736.3462
264,1462959191624.927
265,1479831124279.135
266,1496795823496.0217
267,1513852635627.2034
268,1531000897733.7585
269,1548239937742.2837
270,1565569074602.04
271,1582987618443.1309
272,1600494870735.6443
273,1618090124449.7021
274,1635772664216.349
275,1653541766489.2239
276,1671396699706.9504
277,1689336724456.1882
278,1707361093635.283
279,1725469052618.4585
280,1743659839420.4902
281,1761932684861.8035
282,1780286812733.9395
283,1798721439965.3313
284,1817235776787.3345
285,1835829026900.4583
286,1854500387640.741
287,1873249050146.217
288,1892074199523.423
289,1910975015013.8894
290,1929950670160.566
291,1949000332974.134
292,1968123166099.1501
293,1987318326979.976
294,2006584968026.4458
295,2025922236779.2207
296,2045329276074.789
297,2064805224210.0613
298,2084349215106.5168
299,2103960378473.8604
300,2123637839973.141
301,2143380721379.2952
302,2163188140743.068
303,2183059212552.277
304,2202993047892.374
305,2222988754606.27
306,2243045437453.382
307,2263162198267.8643
308,2283338136115.994
309,2303572347452.666
310,2323863926276.97
311,2344211964286.814
312,2364615551032.557
313,2385073774069.6294
314,2405585719110.098
315,2426150470173.1543
316,2446767109734.4907
317,2467434718874.5425
318,2488152377425.56
319,2508919164117.493
320,2529734156722.6553
321,2550596432199.144
322,2571505066832.9966
323,2592459136379.0522
324,2613457716200.504
325,2634499881407.113
326,2655584706992.0703
327,2676711267967.4805
328,2697878639498.4507
329,2719085897035.767
330,2740332116447.1406
331,2761616374147.003
332,2782937747224.8394
333,2804295313572.0435
334,2825688152007.277
335,2847115342400.32
336,2868575965794.4043
337,2890069104527.0107
338,2911593842349.123
339,2933149264542.925
340,2954734458037.9326
341,2976348511525.5527
342,2997990515572.0537
343,3019659562729.947
344,3041354747647.768
345,3063075167178.2524
346,3084819920484.896
347,3106588109146.901
348,3128378837262.497
349,3150191211550.6353
350,3172024341451.0527
351,3193877339222.7017
352,3215749320040.5435
353,3237639402090.705
354,3259546706663.995
355,3281470358247.7793
356,3303409484616.2173
357,3325363216918.858
358,3347330689767.596
359,3369311041321.9927
360,3391303413372.956
361,3413306951424.7915
362,3435320804775.621
363,3457344126596.174
364,3479376074006.954
365,3501415808153.788
366,3523462494281.759
367,3545515301807.5283
368,3567573404390.057
369,3589635979999.7256
370,3611702210985.862
371,3633771284142.6855
372,3655842390773.673
373,3677914726754.351
374,3699987492593.5283
375,3722059893492.97
376,3744131139405.53
377,3766200445091.7373
378,3788267030174.8647
379,3810330119194.4688
380,3832388941658.424
381,3854442732093.457
382,3876490730094.193
383,3898532180370.7188
384,3920566332794.683
385,3942592442443.936
386,3964609769645.723
387,3986617580018.4478
388,4008615144512.007
389,4030601739446.7197
390,4052576646550.8555
391,4074539152996.776
392,4096488551435.703
393,4118424140031.1284
394,4140345222490.8696
395,4162251108097.7964
396,4184141111739.2324
397,4206014553935.047
398,4227870760864.455
399,4249709064391.5317
400,4271528802089.4624
401,4293329317263.5356
402,4315109958972.897
403,4336870082051.0786
404,4358609047125.313
405,4380326220634.6523
406,4402020974846.902
407,4423692687874.387
408,4445340743688.561
409,4466964532133.478
410,4488563448938.136
411,4510136895727.711
412,4531684280033.694
413,4553205015302.949
414,4574698520905.695
415,4596164222142.449
416,4617601550249.92
417,4639009942405.887
418,4660388841733.065
419,4681737697301.983
420,4703055964132.878
421,4724343103196.624
422,4745598581414.724
423,4766821871658.352
424,4788012452746.487
425,4809169809443.139
426,4830293432453.681
427,4851382818420.313
428,4872437469916.662
429,4893456895441.53
430,4914440609411.823
431,4935388132154.65
432,4956298989898.628
433,4977172714764.393
434,4998008844754.341
435,5018806923741.61
436,5039566501458.312
437,5060287133483.03
438,5080968381227.615
439,5101609811923.257
440,5122210998605.882
441,5142771520100.868
442,5163290961007.097
443,5183768911680.361
444,5204204968216.138
445,5224598732431.73
446,5244949811847.816
447,5265257819669.393
448,5285522374766.138
449,5305743101652.21
450,5325919630465.487
451,5346051596946.267
452,5366138642415.429
453,5386180413752.093
454,5406176563370.759
455,5426126749197.964
456,5446030634648.454
457,5465887888600.891
458,5485698185373.102
459,5505461204696.887
460,5525176631692.393
461,5544844156842.068
462,5564463475964.212
463,5584034290186.119
464,5603556305916.847
465,5623029234819.6045
466,5642452793783.781
467,5661826704896.62
468,5681150695414.55
469,5700424497734.191
470,5719647849363.041
471,5738820492889.845
472,5757942175954.674
473,5777012651218.714
474,5796031676333.772
475,5814999013911.523
476,5833914431492.487
477,5852777701514.767
478,5871588601282.543
479,5890346912934.341
480,5909052423411.078
481,5927704924423.897
482,5946304212421.805
483,5964850088559.109
484,5983342358662.684
485,6001780833199.046
486,6020165327241.279
487,6038495660435.792
488,6056771656968.927
489,6074993145533.435
490,6093159959294.81
491,6111271935857.501
492,6129328917231.013
493,6147330749795.888
494,6165277284269.595
495,6183168375672.319
496,6201003883292.671
497,6218783670653.308
498,6236507605476.492
499,6254175559649.581
500,6271787409190.455
501,6289343034212.902
502,6306842318891.952
503,6324285151429.175
504,6341671424017.948
505,6359001032808.7
506,6376273877874.132
507,6393489863174.426
508,6410648896522.454
509,6427750889548.9795
510,6444795757667.862
511,6461783420041.282
512,6478713799544.972
513,6495586822733.474
514,6512402419805.426
515,6529160524568.878
516,6545861074406.644
517,6562504010241.7
518,6579089276502.629
519,6595616821089.114
520,6612086595337.497
521,6628498553986.387
522,6644852655142.346
523,6661148860245.64
524,6677387134036.064
525,6693567444518.851
526,6709689762930.653
527,6725754063705.63
528,6741760324441.6045
529,6757708525866.334
530,6773598651803.866
531,6789430689141.007
532,6805204627793.888
533,6820920460674.646
534,6836578183658.221
535,6852177795549.256
536,6867719298049.133
537,6883202695723.122
538,6898627995967.657
539,6913995208977.742
540,6929304347714.488
541,6944555427872.787
542,6959748467849.116
543,6974883488709.49
544,6989960514157.552
545,7004979570502.807
546,7019940686629.006
547,7034843893962.68
548,7049689226441.824
549,7064476720484.736
550,7079206414959.012
551,7093878351150.698
552,7108492572733.608
553,7123049125738.797
554,7137548058524.2
555,7151989421744.443
556,7166373268320.814
557,7180699653411.404
558,7194968634381.426
559,7209180270773.696
560,7223334624279.3
561,7237431758708.424
562,7251471739961.37
563,7265454635999.747
564,7279380516817.837
565,7293249454414.148
566,7307061522763.148
567,7320816797787.176
568,7334515357328.538
569,7348157281121.798
570,7361742650766.237
571,7375271549698.515
572,7388744063165.507
573,7402160278197.339
574,7415520283580.601
575,7428824169831.757
