x,y,cells
51,51,1000000000
50,52,1000000000
50,51,1000000000
51,50,1000000000
51,51,1000000000
52,50,1000000000
51,49,1000000000
50,49,1000000000
51,49,1000000000
51,48,1000000000
50,47,1000000000
49,46,1000000000
48,45,1000000000
47,46,1000000000
48,45,1000000000
47,46,1000000000
46,47,1000000000
45,48,1000000000
45,47,1000000000
46,47,1000000000
47,46,1000000000
48,45,1000000000
47,46,1000000000
48,47,1000000000
47,47,1000000000
48,46,1000000000
48,47,1000000000
47,47,1000000000
46,47,1000000000
46,46,1000000000
45,45,1000000000
44,45,1000000000
43,45,1000000000
44,46,1000000000
45,46,1000000000
46,46,1000000000
46,45,1000000000
46,44,1000000000
47,43,1000000000
47,42,1000000000
46,41,1000000000
47,40,1000000000
48,39,1000000000
49,40,1000000000
50,41,1000000000
49,42,1000000000
50,41,1000000000
49,41,1000000000
50,41,1000000000
49,40,1000000000
48,40,1000000000
49,41,1000000000
50,42,1000000000
51,42,1000000000
50,43,1000000000
51,43,1000000000
50,44,1000000000
50,45,1000000000
49,44,1000000000
48,45,1000000000
48,44,1000000000
47,45,1000000000
46,45,1000000000
47,46,1000000000
48,45,1000000000
49,45,1000000000
50,46,1000000000
51,45,1000000000
50,44,1000000000
49,45,1000000000
50,46,1000000000
51,47,1000000000
52,46,1000000000
53,45,1000000000
54,44,1000000000
53,43,1000000000
52,42,1000000000
53,41,1000000000
54,40,1000000000
54,41,1000000000
54,42,1000000000
53,41,1000000000
52,42,1000000000
51,41,1000000000
52,41,1000000000
52,42,1000000000
51,42,1000000000
51,43,1000000000
50,42,1000000000
51,43,1000000000
52,42,1000000000
52,43,1000000000
51,42,1000000000
52,41,1000000000
53,41,1000000000
52,40,1000000000
51,41,1000000000
52,42,1000000000
53,43,1000000000
53,44,1000000000
